DATE,IMPJP
1985-01-01,5968.8
1985-02-01,4799.8
1985-03-01,5724.9
1985-04-01,5931.0
1985-05-01,5719.2
1985-06-01,5824.1
1985-07-01,5418.3
1985-08-01,5444.2
1985-09-01,6451.5
1985-10-01,5236.9
1985-11-01,6042.6
1985-12-01,6221.6
1986-01-01,6901.6
1986-02-01,5860.6
1986-03-01,7185.4
1986-04-01,6333.2
1986-05-01,6439.1
1986-06-01,7240.1
1986-07-01,8101.9
1986-08-01,6694.4
1986-09-01,5884.2
1986-10-01,6995.6
1986-11-01,8392.1
1986-12-01,5882.8
1987-01-01,5900.5
1987-02-01,6824.5
1987-03-01,6804.2
1987-04-01,6832.3
1987-05-01,6933.8
1987-06-01,7332.6
1987-07-01,7340.5
1987-08-01,7242.4
1987-09-01,6780.9
1987-10-01,7932.0
1987-11-01,7179.0
1987-12-01,7472.2
1988-01-01,6356.7
1988-02-01,7098.4
1988-03-01,7408.3
1988-04-01,7244.7
1988-05-01,6685.4
1988-06-01,7556.1
1988-07-01,7328.9
1988-08-01,7672.4
1988-09-01,7057.7
1988-10-01,8441.2
1988-11-01,8191.4
1988-12-01,8477.7
1989-01-01,6732.5
1989-02-01,7763.2
1989-03-01,8439.6
1989-04-01,7537.3
1989-05-01,7927.1
1989-06-01,7870.7
1989-07-01,7855.0
1989-08-01,7859.4
1989-09-01,7742.9
1989-10-01,8602.6
1989-11-01,7773.5
1989-12-01,7448.7
1990-01-01,6878.2
1990-02-01,6911.3
1990-03-01,7807.5
1990-04-01,7640.5
1990-05-01,6751.3
1990-06-01,7220.1
1990-07-01,7251.1
1990-08-01,7629.3
1990-09-01,7022.9
1990-10-01,8721.2
1990-11-01,8105.5
1990-12-01,7745.1
1991-01-01,7344.1
1991-02-01,7420.3
1991-03-01,7925.0
1991-04-01,7178.9
1991-05-01,6711.3
1991-06-01,6997.0
1991-07-01,7659.0
1991-08-01,7789.6
1991-09-01,7794.0
1991-10-01,8883.5
1991-11-01,7770.6
1991-12-01,8037.3
1992-01-01,7608.8
1992-02-01,7433.0
1992-03-01,8421.6
1992-04-01,7921.9
1992-05-01,7075.4
1992-06-01,7675.6
1992-07-01,8229.3
1992-08-01,8039.4
1992-09-01,8319.3
1992-10-01,9031.1
1992-11-01,8574.1
1992-12-01,9084.2
1993-01-01,7636.6
1993-02-01,8014.7
1993-03-01,9662.9
1993-04-01,9196.1
1993-05-01,7792.4
1993-06-01,8623.8
1993-07-01,8864.9
1993-08-01,9050.2
1993-09-01,9280.2
1993-10-01,10113.3
1993-11-01,9466.8
1993-12-01,9544.5
1994-01-01,8469.9
1994-02-01,8887.6
1994-03-01,10595.4
1994-04-01,9780.3
1994-05-01,8509.0
1994-06-01,10111.7
1994-07-01,9989.6
1994-08-01,10697.2
1994-09-01,9908.8
1994-10-01,11315.5
1994-11-01,10628.8
1994-12-01,10262.0
1995-01-01,9233.9
1995-02-01,9732.6
1995-03-01,11732.1
1995-04-01,11179.8
1995-05-01,10510.2
1995-06-01,10885.4
1995-07-01,10548.6
1995-08-01,10459.4
1995-09-01,10050.4
1995-10-01,10234.8
1995-11-01,9551.9
1995-12-01,9360.2
1996-01-01,8954.8
1996-02-01,9575.3
1996-03-01,10240.7
1996-04-01,9913.3
1996-05-01,9081.8
1996-06-01,8963.8
1996-07-01,9781.1
1996-08-01,9453.0
1996-09-01,9205.0
1996-10-01,10741.4
1996-11-01,9619.8
1996-12-01,9657.1
1997-01-01,9433.0
1997-02-01,9721.1
1997-03-01,10947.9
1997-04-01,10343.9
1997-05-01,9166.8
1997-06-01,9894.5
1997-07-01,10527.5
1997-08-01,10062.7
1997-09-01,10140.9
1997-10-01,11203.4
1997-11-01,9790.0
1997-12-01,10431.6
1998-01-01,9426.1
1998-02-01,9909.8
1998-03-01,10986.1
1998-04-01,10326.9
1998-05-01,9654.5
1998-06-01,9970.8
1998-07-01,10210.2
1998-08-01,9889.6
1998-09-01,9736.4
1998-10-01,10924.4
1998-11-01,10333.9
1998-12-01,10476.4
1999-01-01,9213.3
1999-02-01,9999.1
1999-03-01,11799.4
1999-04-01,10407.6
1999-05-01,9476.4
1999-06-01,10897.4
1999-07-01,11108.8
1999-08-01,10801.0
1999-09-01,11271.3
1999-10-01,12126.0
1999-11-01,11578.5
1999-12-01,12185.0
2000-01-01,10203.6
2000-02-01,11720.7
2000-03-01,12810.4
2000-04-01,12452.2
2000-05-01,11946.4
2000-06-01,12173.8
2000-07-01,12557.2
2000-08-01,12535.1
2000-09-01,11484.1
2000-10-01,14064.8
2000-11-01,12461.3
2000-12-01,12069.8
2001-01-01,11142.5
2001-02-01,11380.0
2001-03-01,12076.2
2001-04-01,11562.3
2001-05-01,9606.0
2001-06-01,9968.6
2001-07-01,10317.6
2001-08-01,10218.8
2001-09-01,9456.8
2001-10-01,11186.9
2001-11-01,10288.4
2001-12-01,9269.0
2002-01-01,8674.0
2002-02-01,9426.4
2002-03-01,10466.3
2002-04-01,10699.2
2002-05-01,9167.2
2002-06-01,10090.4
2002-07-01,10230.0
2002-08-01,10081.4
2002-09-01,10074.0
2002-10-01,10561.4
2002-11-01,10814.9
2002-12-01,11143.4
2003-01-01,9109.5
2003-02-01,9440.5
2003-03-01,10434.6
2003-04-01,10332.7
2003-05-01,9105.6
2003-06-01,9738.5
2003-07-01,10128.6
2003-08-01,9089.1
2003-09-01,9442.3
2003-10-01,10786.7
2003-11-01,10187.3
2003-12-01,10241.3
2004-01-01,9171.9
2004-02-01,10238.4
2004-03-01,11791.7
2004-04-01,11230.1
2004-05-01,9840.9
2004-06-01,11038.0
2004-07-01,11044.9
2004-08-01,10651.4
2004-09-01,10510.0
2004-10-01,11439.8
2004-11-01,11636.2
2004-12-01,11212.0
2005-01-01,10154.4
2005-02-01,10993.4
2005-03-01,12779.2
2005-04-01,11793.4
2005-05-01,10756.0
2005-06-01,12004.2
2005-07-01,11394.2
2005-08-01,11457.2
2005-09-01,10837.7
2005-10-01,12173.3
2005-11-01,11945.9
2005-12-01,11715.0
2006-01-01,10913.3
2006-02-01,11585.8
2006-03-01,12977.2
2006-04-01,12261.3
2006-05-01,12034.0
2006-06-01,12337.3
2006-07-01,12557.6
2006-08-01,12495.4
2006-09-01,11825.5
2006-10-01,13787.7
2006-11-01,12987.2
2006-12-01,12418.6
2007-01-01,11405.6
2007-02-01,11825.4
2007-03-01,12883.9
2007-04-01,12548.1
2007-05-01,11122.3
2007-06-01,11827.3
2007-07-01,12768.6
2007-08-01,11975.6
2007-09-01,11403.8
2007-10-01,13471.8
2007-11-01,12450.4
2007-12-01,11780.6
2008-01-01,11709.0
2008-02-01,12542.0
2008-03-01,13015.6
2008-04-01,13045.3
2008-05-01,11244.4
2008-06-01,12144.3
2008-07-01,12029.0
2008-08-01,11136.9
2008-09-01,11008.0
2008-10-01,11475.7
2008-11-01,10108.2
2008-12-01,9804.0
2009-01-01,8164.9
2009-02-01,6409.4
2009-03-01,7245.6
2009-04-01,6932.3
2009-05-01,6145.0
2009-06-01,7792.1
2009-07-01,8167.8
2009-08-01,8165.1
2009-09-01,8587.9
2009-10-01,9197.7
2009-11-01,9478.0
2009-12-01,9517.8
2010-01-01,8340.8
2010-02-01,8776.3
2010-03-01,10485.0
2010-04-01,9442.0
2010-05-01,8640.6
2010-06-01,10217.8
2010-07-01,10091.2
2010-08-01,10728.6
2010-09-01,10057.1
2010-10-01,11281.7
2010-11-01,11091.7
2010-12-01,11399.4
2011-01-01,9884.6
2011-02-01,10567.4
2011-03-01,11806.7
2011-04-01,8829.2
2011-05-01,8317.0
2011-06-01,9421.5
2011-07-01,10858.6
2011-08-01,11828.9
2011-09-01,10858.3
2011-10-01,12387.6
2011-11-01,12123.6
2011-12-01,12044.4
2012-01-01,11755.7
2012-02-01,12433.0
2012-03-01,13310.0
2012-04-01,12086.7
2012-05-01,12111.4
2012-06-01,11998.0
2012-07-01,12490.2
2012-08-01,12957.7
2012-09-01,10977.9
2012-10-01,12684.1
2012-11-01,11811.4
2012-12-01,11815.6
2013-01-01,11291.6
2013-02-01,10948.3
2013-03-01,12156.7
2013-04-01,11984.7
2013-05-01,11134.1
2013-06-01,11257.6
